inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1822.6705336984846; 17; 1833.203155049579; 37; 1830.7028888118143; 23
1827.2951995104559; 18; 1822.1589638799849; 26; 1823.736835493804; 20
1832.663243006841; 11; 1830.8619434328393; 43; 1843.7470207024544; 18
1828.1796615333385; 17; 1829.6307042196602; 12; 1841.9739103905538; 25
1828.904922433938; 20; 1833.1244048992965; 38; 1830.4303670609877; 20
1827.1559331030646; 13; 1830.2090742958028; 13; 1829.3175944826748; 22
1830.707983798159; 29; 1825.998758088831; 17; 1833.2580755564818; 17
1826.3801200762132; 19; 1827.6978806111779; 15; 1832.7150192713525; 16
1822.2239392925446; 14; 1847.5590452637591; 16; 1835.6191558379699; 16
1823.9401764930767; 15; 1839.6713552622623; 24; 1832.6145650823748; 24
1840.654280806918; 16; 1836.4723013210453; 15; 1830.262836653033; 21
